120,4,setosa,versicolor,virginica
0.2,8,57.75,47.25,2
0.191,8,57.75,47.25,2
0.29,7,62.5,50,2
0.2,7,62.5,0,4
0.06,9,62.5,50,2
0.3,7,62.5,50,4
1.33,7,62.5,50,4
35,9,62.5,45,4
0.25,7,62.5,50,4
0.2,7,62.5,0,1
1.36,9,62.5,50,2
0.109,7,62.5,50,2
0.1,9,62.5,50,2
0.103,7,62.5,50,2
0.29,7,62.5,0,2
0.27,7,66,0,1
0.2,9,62.5,50,2
0.65,7,62.5,50,1
0.51,7,62.5,50,4
0.01,7,62.5,50,2
4.77,6,62.5,50,4
0.3,7,62.5,0,4
0.1,9,62.5,50,1
1.5,8,62.5,50,4
0.03,7,62.5,50,3
0.45,7,62.5,45,4
22.7,7,62.5,43.2,3
0.39,7,63.75,0,4
0.877,6,62.5,50,3
0.436,7,60,0,2
0.11,8,62.5,50,4
2.04,9,62.5,50,4
0.81,6,63.75,0,2
1.08,9,52.5,0,4
0.204,8,62.5,0,4
0.17,9,60,45.6,4
0.295,8,62.5,50,2
0.72,7,62.5,0,3
1.49,8,63.75,50,2
2.81,7,63.75,50,2
0.34,6,62.5,0,4
1.2,8,62.5,50,2
0.24,8,62.5,50,2
0.54,8,63.75,50,2
0,8,62.5,50,2
0.233,6,62.5,0,4
0.04,7,62.5,50,4
0.29,6,62.5,0,4
0.8,8,62.5,50,2
0.54,7,62.5,50,3
0.008,8,62.5,45,2
0,8,62.5,0,2
0.2,6,62.5,0,4
0.67,7,62.5,45,4
0.04,7,62.5,45,2
0.7,7,62.5,50,2
0.03,9,62.5,50,4
0.96,7,62.5,50,4
4.58,7,40,0,3
0.12,8,62.5,45,1
0.5,6,62.5,45,4
0.16,8,62.5,50,2
0.344,7,62.5,0,1
0.8,8,62.5,0,3
0.146,8,62.5,0,1
0.1,7,62.5,45,4
0.1,9,62.5,50,4
0.1,7,62.5,50,4
0.23,8,63.75,45,4
0.03,7,60,45,2
0.23,7,62.5,0,1
1.62,9,62.5,50,4
116,7,60,0,2
0.01,8,62.5,0,2
0.328,7,62.5,0,3
0.54,6,62.5,0,3
1.17,8,63.25,50,4
0.79,9,62.5,50,4
0.38,9,62.5,50,4
0.14,6,60,0,1
0.51,7,62.5,45,1
1.44,5,62.5,0,4
0.7,7,62.5,0,2
0.99,8,62.5,45,4
0.05,7,62.5,0,1
0.05,9,62.5,0,4
0.5,7,50,0,2
0.51,7,62.5,0,3
0.24,9,62.5,0,4
0.26,6,62.5,0,4
0.01,7,62.5,50,4
1.34,8,62.5,50,4
2.69,9,60,48,4
0.17,7,62.5,50,2
0.35,8,62.5,50,4
0.3,7,62.5,0,4
0.34,7,62.5,50,4
0.5,7,62.5,0,4
0.65,7,62.5,0,2
0.75,7,62.5,0,1
0.19,8,62.5,50,4
0.2,7,62.5,45,4
2.29,9,60,50,4
0.22,7,62.5,50,4
0.304,8,62.5,45,4
